concept,PD,id_annot,created_at,content,label_1,label_2,label_3
ANTISEMITE,antisémite,106,2024-01-05 08:08:52+00:00,"mais franchement, quand est-ce vous allez retrouver votre dignité et arreter de vous victimiser ? soutenir les palestiniens n’est pas être antisémite. mais bon que signifie vraiment être antisémite pour vous.",none of the above,none of the above,none of the above
ANTISEMITE,antisémite,102,2024-05-06 18:26:49+00:00,"dénoncer un génocide c’est être antisémite maintenant… et après c’est nous qui avons un problème moral ? dommage que les experts si peu accessibles, c’est donc les abrutis qui ont le plus la parole, voilà pourquoi on en est là. cette période sera incroyable à étudier.",none of the above,none of the above,none of the above
ANTISEMITE,antisémite,108,2024-10-23 16:04:15+00:00,"la politique d'israel aujourd'hui renforce dangereusement la detestation de leur pays, et par extension, en essayant de rallier ts les juifs à leur actes mortiferes, ca renforce la dérive antisémite de certains cons. ss faux prétexte de detruire le hamas, ils renforcent ses rangs",none of the above,none of the above,none of the above
ANTISEMITE,antisémite,101,2025-01-23 19:05:04+00:00,tu le fais exprès je crois. montrer une version du talmud fausse afin d’engendrer des propos antisemites n’a rien à voir avec le sionisme,none of the above,none of the above,none of the above
ANTISEMITE,antisémite,8,2025-03-16 19:06:01+00:00,"mais bien sûr, parce que t'es qui toi ? l'antisémite de merde. a vous écoutez on se prosternera bientôt devant un guerrier sanguinaire à tendance pédophile qui voyage sur le dos d'un âne volant ... ah mais ça existe déjà excuse moi. bonne branlette du soir, t'as le droit là, le soleil est couché",islamophobic,islamophobic,islamophobic
ANTISEMITE,antisémite,105,2025-03-23 10:56:49+00:00,on ne sait rien de l'identité de l'agresseur. en quoi serait-il lié à l'extrême-gauche ? l'extrême-droite raciste et antisémite pourrait tout aussi bien être la source d'influence.,none of the above,none of the above,none of the above
ANTISEMITE,antisémite,107,2025-03-24 10:25:27+00:00,"le génocide des temps modernes. le mot hamas, terroristes, permet d'emballer tous ces massacres sous la bannière ""on est la seule démocratie du moyen orient, on a le droit de se défendre"", et gare à ceux qui dénoncent, ils seront qualifiés d'antisémites. rien ne justifie cela.",none of the above,none of the above,none of the above
ANTISEMITE,antisémite,10,2025-03-24 23:18:41+00:00,"t'as raison. un pays où les actes antisémites explosent. où le catholicisme n'est plus à son prime. où l'islam est en pleine expansion et envahit toute la société. bravo tibo, vive le grand remplacement et l'islamisation de la france t'es pas un macroniste pour rien 💪",islamophobic,islamophobic,islamophobic
ANTISEMITE,antisémite,103,2025-04-02 19:29:35+00:00,"pour ta gouverne le régime de vichy c’était socialistes, communistes et un groupe de collaboration dont des intellectuels et artistes et a activement collaboré avec l’allemagne nazie et a pris des mesures antisémites sans y être contraint.",anti-left,anti-left,anti-left
ANTISEMITE,antisémite,110,2025-04-11 06:34:07+00:00,ça ne vous empêche pas de traiter d’antisémite les députés qui s’opposent à la politique génocidaire d’israël et de n’avoir aucun mot de compassion pour les dizaines de milliers de victimes palestiniennes,none of the above,none of the above,none of the above
