target,n_c1,n_c2,total,log2_ratio,word_type,bin,cosine_distance,intra_variance_c1,intra_variance_c2,pos_tag,stance_count,iaa,keyness
vaccin,147,484,631,-1.712387571,control,5,0.006315351,0.156508997,0.167564973,NN,,,181.54571728138163
récupération,67,312,379,-2.202556006,control,4,0.004939616,0.166503444,0.140904725,NN,,,165.8747377578965
taxe,184,486,670,-1.396396502,control,5,0.002249837,0.202525064,0.200269103,NN,,,133.86552217570224
soumission,71,285,356,-1.989946335,control,3,0.003929675,0.156128883,0.147221163,NN,,,132.60283457857926
secte,69,220,289,-1.658619542,control,2,0.002527118,0.11298722,0.10508094,NN,,,79.29183315433347
pourriture,92,258,350,-1.477649477,control,3,0.00506407,0.173298255,0.175262123,NN,,,77.97269488468478
parasite,112,276,388,-1.293563204,control,4,0.004624426,0.214640945,0.207129955,NN,,,67.58835352235762
subvention,112,256,368,-1.185445587,control,3,0.002562523,0.137273759,0.124272667,NN,,,54.40960405668565
assassinat,80,196,276,-1.282201817,control,1,0.001996636,0.169854373,0.153803527,NN,,,47.50054752
pognon,83,193,276,-1.207595419,control,2,0.001400948,0.094481632,0.098119311,NN,,,42.42820111380679
survie,61,158,219,-1.358686645,control,1,0.005075693,0.14594312,0.147531986,NN,,,42.147761560815184
fille,573,820,1393,-0.516331485,control,7,0.001664758,0.182933047,0.183867589,NN,,,38.19070905440199
électorat,100,199,299,-0.985644707,control,2,0.002603054,0.102676079,0.114178561,NN,,,31.02520272147393
poche,116,219,335,-0.910994994,control,3,0.002653897,0.2271844,0.223656908,NN,,,29.714028537513315
paie,108,205,313,-0.918316202,control,2,0.081199408,0.276476562,0.276514381,NN,,,28.231539749684657
sanction,251,203,454,0.304854582,control,4,0.00221169,0.178917199,0.174448788,NN,,,6.3298491203174905
rue,658,769,1427,-0.224579981,control,7,0.010428429,0.218779877,0.206821889,NN,,,6.137260473155422
retraite,564,662,1226,-0.230758003,control,7,0.002037585,0.183229908,0.186753526,NN,,,5.624546225158738
bilan,258,226,484,0.1902598,control,4,0.002451539,0.192027599,0.189542741,NN,,,2.974733050880566
candidature,155,131,286,0.2410081,control,2,0.0039168,0.157342076,0.123664811,NN,,,2.6478530252819183
