lemma,left,right,log_ratio,abs_log_ratio
🔺,2,271,-6.502500341,6.502500341
🐞,3,205,-5.686500527,5.686500527
brestois,84,1,5.409390936,5.409390936
🌻,205,4,5.364572432,5.364572432
reconquete,1,78,-5.303780748,5.303780748
🌵,108,2,5.183221824,5.183221824
bosniaque,7,249,-4.965784285,4.965784285
ptdrrrr,57,1,4.857980995,4.857980995
girondin,169,5,4.824428435,4.824428435
reveillerleurope,54,1,4.781359714,4.781359714
bibl,2,78,-4.718818247,4.718818247
frontrépublicain,50,1,4.672425342,4.672425342
orga,50,1,4.672425342,4.672425342
mayenn,49,1,4.64385619,4.64385619
aignan,2,72,-4.604862058,4.604862058
jsp,138,5,4.533978572,4.533978572
vrmt,132,5,4.470319935,4.470319935
freepalestine,86,3,4.442943496,4.442943496
remigration,8,194,-4.437405312,4.437405312
postier,42,1,4.426264755,4.426264755
hexagon,1,41,-4.392317423,4.392317423
ptdrrr,104,4,4.392317423,4.392317423
hamel,3,82,-4.375039431,4.375039431
ritchy,1,40,-4.357552005,4.357552005
feelgood,40,1,4.357552005,4.357552005
gptv,1,39,-4.321928095,4.321928095
jver,39,1,4.321928095,4.321928095
cherki,39,1,4.321928095,4.321928095
immigrationnist,1,39,-4.321928095,4.321928095
doumbouya,38,1,4.285402219,4.285402219
gazette,1,38,-4.285402219,4.285402219
bosnien,1,37,-4.247927513,4.247927513
lapost,36,1,4.209453366,4.209453366
afuera,3,72,-4.189824559,4.189824559
psh,35,1,4.169925001,4.169925001
zarathoustra,1,35,-4.169925001,4.169925001
anticor,70,3,4.14974712,4.14974712
handball,34,1,4.129283017,4.129283017
dhimmi,4,86,-4.121015401,4.121015401
mgr,2,51,-4.115477217,4.115477217
🦅,5,100,-4.073248982,4.073248982
uniondesdroite,3,66,-4.06608919,4.06608919
vrm,49,2,4.058893689,4.058893689
jop,32,1,4.044394119,4.044394119
muz,2,48,-4.029747343,4.029747343
imo,48,2,4.029747343,4.029747343
🟣,48,2,4.029747343,4.029747343
georgescu,3,64,-4.022367813,4.022367813
excel,5,96,-4.014950341,4.014950341
jesoutiensmarine,6,112,-4.01282404,4.01282404
spiritualiste,31,1,4,4
🛡,3,63,-4,4
réal,93,5,3.969626351,3.969626351
